04-22 00:29:14.049 W/CpuPowerCalculator(  519): UID 10113 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.049 W/CpuPowerCalculator(  519): UID 10113 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.049 W/CpuPowerCalculator(  519): UID 10112 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.049 W/CpuPowerCalculator(  519): UID 10112 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.049 W/CpuPowerCalculator(  519): UID 10112 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.049 W/CpuPowerCalculator(  519): UID 10111 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.049 W/CpuPowerCalculator(  519): UID 10111 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.049 W/CpuPowerCalculator(  519): UID 10111 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.049 W/CpuPowerCalculator(  519): UID 10111 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10110 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10110 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10110 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10110 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10110 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10109 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10109 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10109 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10108 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10108 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10108 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10107 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10107 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10107 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10107 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10106 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10106 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10106 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10105 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10105 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10105 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10104 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10104 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10104 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10101 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10101 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10101 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10100 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10100 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10100 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10096 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10096 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10096 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10084 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10084 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10084 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10079 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10079 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.050 W/CpuPowerCalculator(  519): UID 10079 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10076 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10076 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10076 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10076 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10075 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10075 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10075 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10074 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10074 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10074 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10074 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10073 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10073 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10073 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10072 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10072 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10072 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10070 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10070 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10070 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 10070 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 9999 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 2000 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 2000 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 2000 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 1092 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 1073 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 1073 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 1073 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 1072 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 1069 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 1068 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 1068 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 1068 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 1066 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 1053 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 1047 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 1046 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.051 W/CpuPowerCalculator(  519): UID 1041 CPU freq # mismatch: Power Profile # 2 actual # 8
